INPUDIRECTION;INPUTTRANSDUCER;OUTPUTFILE;PROBEWIDTH
-28.125 7.5 80.0 -28.125 7.6499999999999915 80.0 -28.125 7.799999999999997 80.0 -28.125 7.950000000000003 80.0 ;-28.125 7.5 157.0 -28.125 7.6499999999999915 157.0 -28.125 7.799999999999997 157.0 -28.125 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_5.imf;18.75
-9.375 7.5 80.0 -9.375 7.6499999999999915 80.0 -9.375 7.799999999999997 80.0 -9.375 7.950000000000003 80.0 ;-9.375 7.5 157.0 -9.375 7.6499999999999915 157.0 -9.375 7.799999999999997 157.0 -9.375 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_5.imf;18.75
9.375 7.5 80.0 9.375 7.6499999999999915 80.0 9.375 7.799999999999997 80.0 9.375 7.950000000000003 80.0 ;9.375 7.5 157.0 9.375 7.6499999999999915 157.0 9.375 7.799999999999997 157.0 9.375 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_5.imf;18.75
28.125 7.5 80.0 28.125 7.6499999999999915 80.0 28.125 7.799999999999997 80.0 28.125 7.950000000000003 80.0 ;28.125 7.5 157.0 28.125 7.6499999999999915 157.0 28.125 7.799999999999997 157.0 28.125 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_5.imf;18.75
46.875 7.5 80.0 46.875 7.6499999999999915 80.0 46.875 7.799999999999997 80.0 46.875 7.950000000000003 80.0 ;46.875 7.5 157.0 46.875 7.6499999999999915 157.0 46.875 7.799999999999997 157.0 46.875 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_5.imf;18.75
65.625 7.5 80.0 65.625 7.6499999999999915 80.0 65.625 7.799999999999997 80.0 65.625 7.950000000000003 80.0 ;65.625 7.5 157.0 65.625 7.6499999999999915 157.0 65.625 7.799999999999997 157.0 65.625 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_5.imf;18.75
-65.625 22.5 80.0 -65.625 22.64999999999999 80.0 -65.625 22.799999999999997 80.0 -65.625 22.950000000000003 80.0 ;-65.625 22.5 157.0 -65.625 22.64999999999999 157.0 -65.625 22.799999999999997 157.0 -65.625 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_6.imf;18.75
-46.875 22.5 80.0 -46.875 22.64999999999999 80.0 -46.875 22.799999999999997 80.0 -46.875 22.950000000000003 80.0 ;-46.875 22.5 157.0 -46.875 22.64999999999999 157.0 -46.875 22.799999999999997 157.0 -46.875 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_6.imf;18.75
-28.125 22.5 80.0 -28.125 22.64999999999999 80.0 -28.125 22.799999999999997 80.0 -28.125 22.950000000000003 80.0 ;-28.125 22.5 157.0 -28.125 22.64999999999999 157.0 -28.125 22.799999999999997 157.0 -28.125 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_6.imf;18.75
-9.375 22.5 80.0 -9.375 22.64999999999999 80.0 -9.375 22.799999999999997 80.0 -9.375 22.950000000000003 80.0 ;-9.375 22.5 157.0 -9.375 22.64999999999999 157.0 -9.375 22.799999999999997 157.0 -9.375 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_6.imf;18.75
9.375 22.5 80.0 9.375 22.64999999999999 80.0 9.375 22.799999999999997 80.0 9.375 22.950000000000003 80.0 ;9.375 22.5 157.0 9.375 22.64999999999999 157.0 9.375 22.799999999999997 157.0 9.375 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_6.imf;18.75
28.125 22.5 80.0 28.125 22.64999999999999 80.0 28.125 22.799999999999997 80.0 28.125 22.950000000000003 80.0 ;28.125 22.5 157.0 28.125 22.64999999999999 157.0 28.125 22.799999999999997 157.0 28.125 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_6.imf;18.75
46.875 22.5 80.0 46.875 22.64999999999999 80.0 46.875 22.799999999999997 80.0 46.875 22.950000000000003 80.0 ;46.875 22.5 157.0 46.875 22.64999999999999 157.0 46.875 22.799999999999997 157.0 46.875 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_6.imf;18.75
65.625 22.5 80.0 65.625 22.64999999999999 80.0 65.625 22.799999999999997 80.0 65.625 22.950000000000003 80.0 ;65.625 22.5 157.0 65.625 22.64999999999999 157.0 65.625 22.799999999999997 157.0 65.625 22.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_6.imf;18.75
-65.625 37.5 80.0 -65.625 37.64999999999999 80.0 -65.625 37.8 80.0 -65.625 37.95 80.0 ;-65.625 37.5 157.0 -65.625 37.64999999999999 157.0 -65.625 37.8 157.0 -65.625 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_7.imf;18.75
-46.875 37.5 80.0 -46.875 37.64999999999999 80.0 -46.875 37.8 80.0 -46.875 37.95 80.0 ;-46.875 37.5 157.0 -46.875 37.64999999999999 157.0 -46.875 37.8 157.0 -46.875 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_7.imf;18.75
-28.125 37.5 80.0 -28.125 37.64999999999999 80.0 -28.125 37.8 80.0 -28.125 37.95 80.0 ;-28.125 37.5 157.0 -28.125 37.64999999999999 157.0 -28.125 37.8 157.0 -28.125 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_7.imf;18.75
-9.375 37.5 80.0 -9.375 37.64999999999999 80.0 -9.375 37.8 80.0 -9.375 37.95 80.0 ;-9.375 37.5 157.0 -9.375 37.64999999999999 157.0 -9.375 37.8 157.0 -9.375 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_7.imf;18.75
9.375 37.5 80.0 9.375 37.64999999999999 80.0 9.375 37.8 80.0 9.375 37.95 80.0 ;9.375 37.5 157.0 9.375 37.64999999999999 157.0 9.375 37.8 157.0 9.375 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_7.imf;18.75
28.125 37.5 80.0 28.125 37.64999999999999 80.0 28.125 37.8 80.0 28.125 37.95 80.0 ;28.125 37.5 157.0 28.125 37.64999999999999 157.0 28.125 37.8 157.0 28.125 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_7.imf;18.75
46.875 37.5 80.0 46.875 37.64999999999999 80.0 46.875 37.8 80.0 46.875 37.95 80.0 ;46.875 37.5 157.0 46.875 37.64999999999999 157.0 46.875 37.8 157.0 46.875 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_7.imf;18.75
65.625 37.5 80.0 65.625 37.64999999999999 80.0 65.625 37.8 80.0 65.625 37.95 80.0 ;65.625 37.5 157.0 65.625 37.64999999999999 157.0 65.625 37.8 157.0 65.625 37.95 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_7.imf;18.75
-65.625 52.5 80.0 -65.625 52.64999999999999 80.0 -65.625 52.8 80.0 -65.625 52.94999999999999 80.0 ;-65.625 52.5 157.0 -65.625 52.64999999999999 157.0 -65.625 52.8 157.0 -65.625 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_8.imf;18.75
-46.875 52.5 80.0 -46.875 52.64999999999999 80.0 -46.875 52.8 80.0 -46.875 52.94999999999999 80.0 ;-46.875 52.5 157.0 -46.875 52.64999999999999 157.0 -46.875 52.8 157.0 -46.875 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_8.imf;18.75
-28.125 52.5 80.0 -28.125 52.64999999999999 80.0 -28.125 52.8 80.0 -28.125 52.94999999999999 80.0 ;-28.125 52.5 157.0 -28.125 52.64999999999999 157.0 -28.125 52.8 157.0 -28.125 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_8.imf;18.75
-9.375 52.5 80.0 -9.375 52.64999999999999 80.0 -9.375 52.8 80.0 -9.375 52.94999999999999 80.0 ;-9.375 52.5 157.0 -9.375 52.64999999999999 157.0 -9.375 52.8 157.0 -9.375 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_8.imf;18.75
9.375 52.5 80.0 9.375 52.64999999999999 80.0 9.375 52.8 80.0 9.375 52.94999999999999 80.0 ;9.375 52.5 157.0 9.375 52.64999999999999 157.0 9.375 52.8 157.0 9.375 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_8.imf;18.75
28.125 52.5 80.0 28.125 52.64999999999999 80.0 28.125 52.8 80.0 28.125 52.94999999999999 80.0 ;28.125 52.5 157.0 28.125 52.64999999999999 157.0 28.125 52.8 157.0 28.125 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_8.imf;18.75
46.875 52.5 80.0 46.875 52.64999999999999 80.0 46.875 52.8 80.0 46.875 52.94999999999999 80.0 ;46.875 52.5 157.0 46.875 52.64999999999999 157.0 46.875 52.8 157.0 46.875 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_8.imf;18.75
65.625 52.5 80.0 65.625 52.64999999999999 80.0 65.625 52.8 80.0 65.625 52.94999999999999 80.0 ;65.625 52.5 157.0 65.625 52.64999999999999 157.0 65.625 52.8 157.0 65.625 52.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_8.imf;18.75
-65.625 67.5 80.0 -65.625 67.65 80.0 -65.625 67.79999999999998 80.0 -65.625 67.94999999999999 80.0 ;-65.625 67.5 157.0 -65.625 67.65 157.0 -65.625 67.79999999999998 157.0 -65.625 67.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_9.imf;18.75
-46.875 67.5 80.0 -46.875 67.65 80.0 -46.875 67.79999999999998 80.0 -46.875 67.94999999999999 80.0 ;-46.875 67.5 157.0 -46.875 67.65 157.0 -46.875 67.79999999999998 157.0 -46.875 67.94999999999999 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_9.imf;18.75
